Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0805_2012Metric",36.050000,29.830000,180.000000,top
"C2","10u","CP_Elec_6.3x5.8",32.510000,6.920000,0.000000,top
"D1","1N4148WS","D_0805_2012Metric",6.737500,36.250000,180.000000,top
"D2","1N4148WS","D_0805_2012Metric",6.737500,34.000000,0.000000,top
"D3","BZX84C5V6","SOT-23",12.050000,24.100000,180.000000,top
"D4","BZX84C5V6","SOT-23",7.750000,3.787500,-90.000000,top
"D5","BZX84C6V8","SOT-23",13.750000,4.250000,90.000000,top
"D6","BZX84C10","SOT-23",11.950000,8.187500,180.000000,top
"D7","BZX84C5V6","SOT-23",7.412500,10.737500,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",5.000000,13.800000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",35.000000,27.000000,0.000000,top
"J1","Conn_01x02_Male","R_1210_3225Metric",3.250000,18.977500,-90.000000,top
"J2","Conn_01x02_Male","R_1210_3225Metric",34.620000,15.377500,-90.000000,top
"POT1","5k","Potentiometer_Bourns_3314G_Vertical",32.200000,21.800000,90.000000,top
"Q1","MJD31C","TO-252-2",28.500000,34.600000,0.000000,top
"Q2","BC817","SOT-23",13.137500,19.900000,0.000000,top
"Q3","BC817","SOT-23",12.975000,16.150000,180.000000,top
"Q4","BC817","SOT-23",7.662500,24.200000,0.000000,top
"Q5","BC817","SOT-23",20.800000,31.862500,90.000000,top
"Q6","MJD31C","TO-252-2",21.175000,6.875000,90.000000,top
"Q7","BC807","SOT-23",17.750000,19.950000,0.000000,top
"Q8","BC807","SOT-23",22.625000,19.800000,0.000000,top
"R1","1k","R_0805_2012Metric",3.212500,27.100000,0.000000,top
"R2","1k","R_0805_2012Metric",3.050000,29.500000,180.000000,top
"R3","1k","R_0805_2012Metric",2.987500,36.250000,0.000000,top
"R4","510R","R_0805_2012Metric",12.337500,36.300000,0.000000,top
"R5","1k5","R_0805_2012Metric",12.337500,34.050000,180.000000,top
"R6","510R","R_0805_2012Metric",12.337500,31.800000,0.000000,top
"R7","1k","R_0805_2012Metric",12.337500,29.550000,180.000000,top
"R8","1k","R_0805_2012Metric",12.337500,27.300000,0.000000,top
"R9","510R","R_0805_2012Metric",17.687500,16.350000,180.000000,top
"R10","510R","R_0805_2012Metric",21.887500,16.350000,180.000000,top
"R11","150R","R_0805_2012Metric",3.487500,23.500000,180.000000,top
"R12","5k6","R_0805_2012Metric",25.637500,23.850000,0.000000,top
"R13","100k","R_0805_2012Metric",21.487500,26.000000,0.000000,top
"R14","82R","R_0805_2012Metric",25.637500,28.850000,180.000000,top
"R15","10k","R_0805_2012Metric",25.525000,26.250000,180.000000,top
"R16","22k","R_0805_2012Metric",29.287500,28.800000,180.000000,top
"R17","10k","R_0805_2012Metric",21.362500,23.500000,180.000000,top
"R18","100R","R_0805_2012Metric",7.262500,7.787500,180.000000,top
"R19","1k","R_0805_2012Metric",3.050000,31.750000,0.000000,top
"R20","1k","R_0805_2012Metric",3.075000,34.000000,180.000000,top
